City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
643,Jalu,LY,29.03,21.55,103.95,12,0,11.41,Clear
644,Lipari,IT,38.47,14.95,89.01,70,8,3.0,Clear
645,Cortez,US,37.35,-108.59,78.8,29,1,12.59,Clear
646,Nur,PL,52.67,22.32,74.98,43,71,2.77,Clouds
647,Summerville,US,33.02,-80.18,91.0,74,1,4.54,Clear
648,Zhezkazgan,KZ,47.8,67.71,91.4,16,20,17.9,Clouds
649,Katangli,RU,51.71,143.23,52.05,95,100,12.37,Clouds
650,Bintulu,MY,3.17,113.03,77.0,94,20,4.52,Clouds
651,Palu,ID,-0.89,119.87,76.44,81,99,2.64,Clouds
652,Port Lincoln,AU,-34.73,135.87,53.31,81,100,10.54,Clouds
653,Uman,UA,48.75,30.22,68.09,57,71,8.7,Clouds
654,Waterloo,CA,43.47,-80.52,73.4,94,90,8.05,Clouds
655,Pecos,US,31.42,-103.49,78.8,44,1,11.52,Clear
656,Say,NE,13.1,2.37,93.2,38,40,14.99,Clouds
657,Aksu,CN,41.12,80.26,85.3,20,0,8.48,Clear
658,Korla,CN,41.76,86.15,88.0,17,97,2.8,Clouds
659,Buique,BR,-8.62,-37.16,76.35,58,73,15.77,Clouds
660,Emilio Carranza,MX,19.97,-96.61,83.84,67,35,3.42,Clouds
661,Dehloran,IR,32.69,47.27,107.44,7,0,9.04,Clear
662,Reo,BF,12.32,-2.47,90.75,47,19,13.51,Clouds
663,Babayurt,RU,43.6,46.78,81.63,50,79,10.87,Clouds
664,Santiago,CL,-33.46,-70.65,60.01,50,100,0.18,Clouds
665,Bheramara,BD,24.02,88.99,87.26,71,100,5.61,Clouds
666,Bemidji,US,47.47,-94.88,64.99,63,1,12.75,Clear
667,Andenes,NO,69.31,16.12,60.8,82,0,12.75,Clear
668,Atar,MR,20.52,-13.05,112.12,8,0,18.19,Clear
669,Rio Grande City,US,26.38,-98.82,82.99,76,0,3.06,Clear
670,Hualmay,PE,-11.1,-77.61,64.15,74,53,8.01,Clouds
671,Ranfurly,NZ,-45.13,170.1,41.0,89,84,2.75,Clouds
672,Keti Bandar,PK,24.14,67.45,87.89,76,99,11.36,Clouds
673,Vitim,RU,59.45,112.56,59.81,67,0,6.08,Clear
674,Cairns,AU,-16.92,145.77,66.2,88,90,10.29,Rain
675,Bila Krynytsya,UA,50.64,29.47,71.01,49,58,6.71,Clouds
676,Fairview,US,40.81,-74.0,82.99,83,90,13.4,Rain
677,Biabou,VC,13.2,-61.13,86.0,84,40,11.68,Clouds
678,Villarrica,PY,-25.75,-56.43,79.47,46,0,9.04,Clear
679,Rongcheng,CN,30.63,117.85,81.77,79,100,2.82,Clouds
680,Kashi,CN,39.45,75.98,84.99,85,13,5.01,Clouds
681,Ormara,PK,25.21,64.64,85.51,83,2,17.4,Clear
682,Calama,CL,-22.47,-68.93,68.0,4,0,17.22,Clear
683,Gigmoto,PH,13.78,124.39,80.85,77,100,2.33,Clouds
684,Marsh Harbour,BS,26.54,-77.06,83.52,80,100,27.83,Rain
685,Onguday,RU,50.75,86.15,56.16,75,0,2.73,Clear
686,Badarwas,IN,24.97,77.57,82.65,78,84,5.41,Clouds
687,Itoman,JP,26.12,127.67,84.2,83,75,14.99,Clouds
688,Xining,CN,36.62,101.77,64.11,47,78,4.76,Clouds
689,Thinadhoo,MV,0.53,72.93,83.57,75,100,12.48,Clouds
690,Nevers,FR,46.92,3.33,78.8,47,75,6.93,Clouds
691,Tessalit,ML,20.2,1.01,107.94,14,75,13.49,Clouds
