City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Kathmandu,NP,77.0,Clouds,27.72,85.32,Hotel Shanker Kathmandu
182,Fuyang,CN,82.26,Clouds,32.9,115.82,Fuyang Wanda Realm Hotel
185,Georgetown,MY,84.2,Clouds,5.41,100.34,Cititel Penang
186,Ouadda,CF,76.6,Rain,8.08,22.4,
187,Deming,US,78.8,Clear,32.27,-107.76,Best Western Deming Southwest Inn
188,Luce,FR,75.0,Clouds,48.44,1.46,Best Western Premier Grand Monarque Hotel & Spa
192,Celestun,MX,85.24,Clear,20.87,-90.4,Posada Lilia
193,Kutum,SD,77.77,Rain,14.2,24.67,Dibbo areaمنطقة دبو
199,Vityazevo,RU,78.8,Clouds,44.99,37.27,Duny Dzhemete Guest House
205,Kannad,IN,82.4,Clouds,20.27,75.13,Prajwal park.
206,Destin,US,89.01,Clouds,30.39,-86.5,Inn On Destin Harbor
207,Pitimbu,BR,82.4,Clouds,-7.47,-34.81,Reserva do Abiaí
208,Along,IN,77.27,Rain,28.17,94.77,Hotel West
211,Point Pedro,LK,83.26,Rain,9.82,80.23,Gtr homes
213,Hebi,CN,82.6,Clear,35.9,114.19,Wangfu Hotel
214,Dillon,US,89.01,Clear,34.42,-79.37,Dillon Express Inn
215,Puerto Carreno,CO,84.2,Clouds,6.19,-67.49,Casa Hotel Victoria
216,Mahon,ES,84.2,Clear,39.89,4.27,ARTIEM Capri
217,Coahuayana,MX,78.8,Clouds,18.73,-103.68,Hotel Los Arcos
218,Piste,MX,88.56,Clear,20.7,-88.58,Hotel Villas Arqueologicas Chichen Itza
222,Kulu,TR,85.91,Clear,39.1,33.08,Kapadokya Motel
225,Saint-Francois,FR,78.8,Rain,46.42,3.91,Manoir Du Bonheur
229,Tarakan,ID,81.77,Clouds,3.3,117.63,Hotel D' CaLia Tarakan
230,San Francisco Del Mar,MX,85.19,Clouds,16.23,-94.65,
231,Iracoubo,GF,80.35,Rain,5.48,-53.2,Le Gite D Iracoubo
233,Port Elgin,CA,82.4,Clouds,46.05,-64.09,Pumpkinn B&B
237,Strangnas,SE,75.2,Clouds,59.38,17.03,"Hotel Bishops Arms, Strängnäs"
